[2017-08-11 14:21:52]Market: hk Code: 00053 Response:{u'\u5468\u606f\u7387': u'4.23%', u'\u6210\u4ea4\u989d': u'28.35\u4e07', u'\u6700\u65b0\u4ef7': u'94.500', u'\u6628\u6536': u'95.100', u'\u6700\u4f4e': u'94.500', u'\u6da8\u8dcc\u989d': u'-0.600', u'\u5e02\u76c8\u7387': u'9.98', u'\u6210\u4ea4\u91cf': u'3000', u'\u6da8\u8dcc\u7387': u'-0.63%', u'52\u5468\u6700\u4f4e': u'83.600', u'\u5e02\u503c': u'311\u4ebf', u'\u6700\u9ad8': u'94.500', u'\u4eca\u5f00': u'94.500', u'52\u5468\u6700\u9ad8': u'95.900'}
[2017-08-11 14:21:52]Market: hk Code: 00023 Response:{u'\u5468\u606f\u7387': u'1.66%', u'\u6210\u4ea4\u989d': u'4268.41\u4e07', u'\u6700\u65b0\u4ef7': u'33.700', u'\u6628\u6536': u'33.700', u'\u6700\u4f4e': u'33.450', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'27.85', u'\u6210\u4ea4\u91cf': u'126.56\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'29.050', u'\u5e02\u503c': u'918\u4ebf', u'\u6700\u9ad8': u'33.950', u'\u4eca\u5f00': u'33.850', u'52\u5468\u6700\u9ad8': u'34.750'}
[2017-08-11 14:21:52]Market: hk Code: 00040 Response:{u'\u5468\u606f\u7387': u'2.79%', u'\u6210\u4ea4\u989d': u'285.69\u4e07', u'\u6700\u65b0\u4ef7': u'0.860', u'\u6628\u6536': u'0.770', u'\u6700\u4f4e': u'0.800', u'\u6da8\u8dcc\u989d': u'+0.090', u'\u5e02\u76c8\u7387': u'33.08', u'\u6210\u4ea4\u91cf': u'321.20\u4e07', u'\u6da8\u8dcc\u7387': u'+11.69%', u'52\u5468\u6700\u4f4e': u'0.680', u'\u5e02\u503c': u'6.7\u4ebf', u'\u6700\u9ad8': u'0.980', u'\u4eca\u5f00': u'0.800', u'52\u5468\u6700\u9ad8': u'0.980'}
[2017-08-11 14:21:52]Market: hk Code: 00055 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'25.90\u4e07', u'\u6700\u65b0\u4ef7': u'0.495', u'\u6628\u6536': u'0.520', u'\u6700\u4f4e': u'0.495', u'\u6da8\u8dcc\u989d': u'-0.025', u'\u5e02\u76c8\u7387': u'1.47', u'\u6210\u4ea4\u91cf': u'52.00\u4e07', u'\u6da8\u8dcc\u7387': u'-4.81%', u'52\u5468\u6700\u4f4e': u'0.480', u'\u5e02\u503c': u'1.3\u4ebf', u'\u6700\u9ad8': u'0.500', u'\u4eca\u5f00': u'0.500', u'52\u5468\u6700\u9ad8': u'0.750'}
[2017-08-11 14:21:52]Market: hk Code: 00030 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'648.82\u4e07', u'\u6700\u65b0\u4ef7': u'0.255', u'\u6628\u6536': u'0.260', u'\u6700\u4f4e': u'0.250', u'\u6da8\u8dcc\u989d': u'-0.005', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'2561.00\u4e07', u'\u6da8\u8dcc\u7387': u'-1.92%', u'52\u5468\u6700\u4f4e': u'0.101', u'\u5e02\u503c': u'11.6\u4ebf', u'\u6700\u9ad8': u'0.260', u'\u4eca\u5f00': u'0.255', u'52\u5468\u6700\u9ad8': u'0.415'}
[2017-08-11 14:21:52]Market: hk Code: 00063 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'21.66\u4e07', u'\u6700\u65b0\u4ef7': u'0.520', u'\u6628\u6536': u'0.550', u'\u6700\u4f4e': u'0.510', u'\u6da8\u8dcc\u989d': u'-0.030', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'41.70\u4e07', u'\u6da8\u8dcc\u7387': u'-5.45%', u'52\u5468\u6700\u4f4e': u'0.415', u'\u5e02\u503c': u'14.7\u4ebf', u'\u6700\u9ad8': u'0.550', u'\u4eca\u5f00': u'0.550', u'52\u5468\u6700\u9ad8': u'0.960'}
[2017-08-11 14:21:52]Market: hk Code: 00061 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'508.82\u4e07', u'\u6700\u65b0\u4ef7': u'0.026', u'\u6628\u6536': u'0.028', u'\u6700\u4f4e': u'0.026', u'\u6da8\u8dcc\u989d': u'-0.002', u'\u5e02\u76c8\u7387': u'12.38', u'\u6210\u4ea4\u91cf': u'1.89\u4ebf', u'\u6da8\u8dcc\u7387': u'-7.14%', u'52\u5468\u6700\u4f4e': u'0.015', u'\u5e02\u503c': u'19.0\u4ebf', u'\u6700\u9ad8': u'0.028', u'\u4eca\u5f00': u'0.028', u'52\u5468\u6700\u9ad8': u'0.046'}
[2017-08-11 14:21:52]Market: hk Code: 00062 Response:{u'\u5468\u606f\u7387': u'4.89%', u'\u6210\u4ea4\u989d': u'732.26\u4e07', u'\u6700\u65b0\u4ef7': u'25.550', u'\u6628\u6536': u'26.000', u'\u6700\u4f4e': u'25.500', u'\u6da8\u8dcc\u989d': u'-0.450', u'\u5e02\u76c8\u7387': u'12.52', u'\u6210\u4ea4\u91cf': u'28.56\u4e07', u'\u6da8\u8dcc\u7387': u'-1.73%', u'52\u5468\u6700\u4f4e': u'21.700', u'\u5e02\u503c': u'107\u4ebf', u'\u6700\u9ad8': u'25.900', u'\u4eca\u5f00': u'25.900', u'52\u5468\u6700\u9ad8': u'26.750'}
[2017-08-11 14:21:52]Market: hk Code: 00016 Response:{u'\u5468\u606f\u7387': u'3.18%', u'\u6210\u4ea4\u989d': u'2.93\u4ebf', u'\u6700\u65b0\u4ef7': u'121.000', u'\u6628\u6536': u'122.200', u'\u6700\u4f4e': u'120.500', u'\u6da8\u8dcc\u989d': u'-1.200', u'\u5e02\u76c8\u7387': u'10.70', u'\u6210\u4ea4\u91cf': u'242.23\u4e07', u'\u6da8\u8dcc\u7387': u'-0.98%', u'52\u5468\u6700\u4f4e': u'96.500', u'\u5e02\u503c': u'3504\u4ebf', u'\u6700\u9ad8': u'122.500', u'\u4eca\u5f00': u'122.500', u'52\u5468\u6700\u9ad8': u'124.900'}
[2017-08-11 14:21:52]Market: hk Code: 00051 Response:{u'\u5468\u606f\u7387': u'3.37%', u'\u6210\u4ea4\u989d': u'117.22\u4e07', u'\u6700\u65b0\u4ef7': u'14.820', u'\u6628\u6536': u'15.160', u'\u6700\u4f4e': u'14.800', u'\u6da8\u8dcc\u989d': u'-0.340', u'\u5e02\u76c8\u7387': u'15.12', u'\u6210\u4ea4\u91cf': u'7.90\u4e07', u'\u6da8\u8dcc\u7387': u'-2.24%', u'52\u5468\u6700\u4f4e': u'13.520', u'\u5e02\u503c': u'105\u4ebf', u'\u6700\u9ad8': u'15.200', u'\u4eca\u5f00': u'15.200', u'52\u5468\u6700\u9ad8': u'15.400'}
