[2017-08-10 18:08:47]Market: hk Code: 00009 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'64.69\u4e07', u'\u6700\u65b0\u4ef7': u'0.280', u'\u6628\u6536': u'0.280', u'\u6700\u4f4e': u'0.280', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'228.60\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.232', u'\u5e02\u503c': u'8.3\u4ebf', u'\u6700\u9ad8': u'0.285', u'\u4eca\u5f00': u'0.285', u'52\u5468\u6700\u9ad8': u'0.580'}
[2017-08-10 18:08:47]Market: hk Code: 00050 Response:{u'\u5468\u606f\u7387': u'3.96%', u'\u6210\u4ea4\u989d': u'33.59\u4e07', u'\u6700\u65b0\u4ef7': u'9.090', u'\u6628\u6536': u'9.120', u'\u6700\u4f4e': u'9.060', u'\u6da8\u8dcc\u989d': u'-0.030', u'\u5e02\u76c8\u7387': u'13.77', u'\u6210\u4ea4\u91cf': u'3.70\u4e07', u'\u6da8\u8dcc\u7387': u'-0.33%', u'52\u5468\u6700\u4f4e': u'8.750', u'\u5e02\u503c': u'32.4\u4ebf', u'\u6700\u9ad8': u'9.100', u'\u4eca\u5f00': u'9.070', u'52\u5468\u6700\u9ad8': u'9.370'}
[2017-08-10 18:08:47]Market: hk Code: 00058 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'29.86\u4e07', u'\u6700\u65b0\u4ef7': u'0.099', u'\u6628\u6536': u'0.100', u'\u6700\u4f4e': u'0.099', u'\u6da8\u8dcc\u989d': u'-0.001', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'298.00\u4e07', u'\u6da8\u8dcc\u7387': u'-1.00%', u'52\u5468\u6700\u4f4e': u'0.089', u'\u5e02\u503c': u'5.3\u4ebf', u'\u6700\u9ad8': u'0.101', u'\u4eca\u5f00': u'0.100', u'52\u5468\u6700\u9ad8': u'0.260'}
[2017-08-10 18:08:47]Market: hk Code: 00056 Response:{u'\u5468\u606f\u7387': u'4.71%', u'\u6210\u4ea4\u989d': u'141.41\u4e07', u'\u6700\u65b0\u4ef7': u'1.700', u'\u6628\u6536': u'1.720', u'\u6700\u4f4e': u'1.680', u'\u6da8\u8dcc\u989d': u'-0.020', u'\u5e02\u76c8\u7387': u'2.66', u'\u6210\u4ea4\u91cf': u'83.31\u4e07', u'\u6da8\u8dcc\u7387': u'-1.16%', u'52\u5468\u6700\u4f4e': u'1.520', u'\u5e02\u503c': u'116\u4ebf', u'\u6700\u9ad8': u'1.740', u'\u4eca\u5f00': u'1.740', u'52\u5468\u6700\u9ad8': u'2.090'}
[2017-08-10 18:08:47]Market: hk Code: 00037 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'30.07\u4e07', u'\u6700\u65b0\u4ef7': u'0.425', u'\u6628\u6536': u'0.440', u'\u6700\u4f4e': u'0.425', u'\u6da8\u8dcc\u989d': u'-0.015', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'70.00\u4e07', u'\u6da8\u8dcc\u7387': u'-3.41%', u'52\u5468\u6700\u4f4e': u'0.355', u'\u5e02\u503c': u'2.6\u4ebf', u'\u6700\u9ad8': u'0.440', u'\u4eca\u5f00': u'0.440', u'52\u5468\u6700\u9ad8': u'0.550'}
[2017-08-10 18:08:47]Market: hk Code: 00061 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'1429.08\u4e07', u'\u6700\u65b0\u4ef7': u'0.028', u'\u6628\u6536': u'0.028', u'\u6700\u4f4e': u'0.026', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'13.33', u'\u6210\u4ea4\u91cf': u'5.29\u4ebf', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.015', u'\u5e02\u503c': u'20.4\u4ebf', u'\u6700\u9ad8': u'0.028', u'\u4eca\u5f00': u'0.027', u'52\u5468\u6700\u9ad8': u'0.046'}
[2017-08-10 18:08:47]Market: hk Code: 00055 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'12.39\u4e07', u'\u6700\u65b0\u4ef7': u'0.520', u'\u6628\u6536': u'0.520', u'\u6700\u4f4e': u'0.510', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'1.55', u'\u6210\u4ea4\u91cf': u'24.00\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.480', u'\u5e02\u503c': u'1.3\u4ebf', u'\u6700\u9ad8': u'0.520', u'\u4eca\u5f00': u'0.510', u'52\u5468\u6700\u9ad8': u'0.750'}
[2017-08-10 18:08:47]Market: hk Code: 00060 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'3.12\u4e07', u'\u6700\u65b0\u4ef7': u'1.040', u'\u6628\u6536': u'1.040', u'\u6700\u4f4e': u'1.040', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'3.00\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'1.000', u'\u5e02\u503c': u'2.7\u4ebf', u'\u6700\u9ad8': u'1.040', u'\u4eca\u5f00': u'1.040', u'52\u5468\u6700\u9ad8': u'1.400'}
[2017-08-10 18:08:47]Market: hk Code: 00059 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'1225.56\u4e07', u'\u6700\u65b0\u4ef7': u'1.200', u'\u6628\u6536': u'1.150', u'\u6700\u4f4e': u'1.140', u'\u6da8\u8dcc\u989d': u'+0.050', u'\u5e02\u76c8\u7387': u'28.42', u'\u6210\u4ea4\u91cf': u'1049.60\u4e07', u'\u6da8\u8dcc\u7387': u'+4.35%', u'52\u5468\u6700\u4f4e': u'0.570', u'\u5e02\u503c': u'31.4\u4ebf', u'\u6700\u9ad8': u'1.250', u'\u4eca\u5f00': u'1.150', u'52\u5468\u6700\u9ad8': u'1.400'}
[2017-08-10 18:08:47]Market: hk Code: 00001 Response:{u'\u5468\u606f\u7387': u'2.59%', u'\u6210\u4ea4\u989d': u'7.29\u4ebf', u'\u6700\u65b0\u4ef7': u'103.300', u'\u6628\u6536': u'105.200', u'\u6700\u4f4e': u'103.300', u'\u6da8\u8dcc\u989d': u'-1.900', u'\u5e02\u76c8\u7387': u'12.08', u'\u6210\u4ea4\u91cf': u'701.19\u4e07', u'\u6da8\u8dcc\u7387': u'-1.81%', u'52\u5468\u6700\u4f4e': u'87.000', u'\u5e02\u503c': u'3985\u4ebf', u'\u6700\u9ad8': u'105.000', u'\u4eca\u5f00': u'104.500', u'52\u5468\u6700\u9ad8': u'108.900'}
