[2017-08-11 15:16:21]Market: hk Code: 00048 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'10.96\u4e07', u'\u6700\u65b0\u4ef7': u'0.121', u'\u6628\u6536': u'0.125', u'\u6700\u4f4e': u'0.120', u'\u6da8\u8dcc\u989d': u'-0.004', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'91.00\u4e07', u'\u6da8\u8dcc\u7387': u'-3.20%', u'52\u5468\u6700\u4f4e': u'0.120', u'\u5e02\u503c': u'2.4\u4ebf', u'\u6700\u9ad8': u'0.122', u'\u4eca\u5f00': u'0.121', u'52\u5468\u6700\u9ad8': u'0.265'}
[2017-08-11 15:16:21]Market: hk Code: 00084 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'69.88\u4e07', u'\u6700\u65b0\u4ef7': u'0.640', u'\u6628\u6536': u'0.640', u'\u6700\u4f4e': u'0.630', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'109.20\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.500', u'\u5e02\u503c': u'6.7\u4ebf', u'\u6700\u9ad8': u'0.640', u'\u4eca\u5f00': u'0.640', u'52\u5468\u6700\u9ad8': u'0.720'}
[2017-08-11 15:16:21]Market: hk Code: 00037 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'6.21\u4e07', u'\u6700\u65b0\u4ef7': u'0.415', u'\u6628\u6536': u'0.425', u'\u6700\u4f4e': u'0.405', u'\u6da8\u8dcc\u989d': u'-0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'15.20\u4e07', u'\u6da8\u8dcc\u7387': u'-2.35%', u'52\u5468\u6700\u4f4e': u'0.365', u'\u5e02\u503c': u'2.5\u4ebf', u'\u6700\u9ad8': u'0.415', u'\u4eca\u5f00': u'0.405', u'52\u5468\u6700\u9ad8': u'0.550'}
[2017-08-11 15:16:21]Market: hk Code: 00082 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'137.93\u4e07', u'\u6700\u65b0\u4ef7': u'0.260', u'\u6628\u6536': u'0.270', u'\u6700\u4f4e': u'0.260', u'\u6da8\u8dcc\u989d': u'-0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'523.72\u4e07', u'\u6da8\u8dcc\u7387': u'-3.70%', u'52\u5468\u6700\u4f4e': u'0.185', u'\u5e02\u503c': u'8.6\u4ebf', u'\u6700\u9ad8': u'0.270', u'\u4eca\u5f00': u'0.270', u'52\u5468\u6700\u9ad8': u'0.435'}
[2017-08-11 15:16:21]Market: hk Code: 00079 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'0', u'\u6700\u65b0\u4ef7': u'0.680', u'\u6628\u6536': u'0.680', u'\u6700\u4f4e': u'--', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'0', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.630', u'\u5e02\u503c': u'2.1\u4ebf', u'\u6700\u9ad8': u'--', u'\u4eca\u5f00': u'--', u'52\u5468\u6700\u9ad8': u'0.960'}
[2017-08-11 15:16:21]Market: hk Code: 00073 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'--', u'\u6700\u65b0\u4ef7': u'0.600', u'\u6628\u6536': u'0.600', u'\u6700\u4f4e': u'--', u'\u6da8\u8dcc\u989d': u'--', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'--', u'\u6da8\u8dcc\u7387': u'--', u'52\u5468\u6700\u4f4e': u'0.580', u'\u5e02\u503c': u'7.5\u4ebf', u'\u6700\u9ad8': u'--', u'\u4eca\u5f00': u'--', u'52\u5468\u6700\u9ad8': u'0.680'}
[2017-08-11 15:16:21]Market: hk Code: 00034 Response:{u'\u5468\u606f\u7387': u'7.14%', u'\u6210\u4ea4\u989d': u'80.62\u4e07', u'\u6700\u65b0\u4ef7': u'8.400', u'\u6628\u6536': u'8.560', u'\u6700\u4f4e': u'8.390', u'\u6da8\u8dcc\u989d': u'-0.160', u'\u5e02\u76c8\u7387': u'10.24', u'\u6210\u4ea4\u91cf': u'9.60\u4e07', u'\u6da8\u8dcc\u7387': u'-1.87%', u'52\u5468\u6700\u4f4e': u'7.010', u'\u5e02\u503c': u'98.8\u4ebf', u'\u6700\u9ad8': u'8.410', u'\u4eca\u5f00': u'8.400', u'52\u5468\u6700\u9ad8': u'8.940'}
[2017-08-11 15:16:21]Market: hk Code: 00091 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'10.02\u4e07', u'\u6700\u65b0\u4ef7': u'0.064', u'\u6628\u6536': u'0.067', u'\u6700\u4f4e': u'0.063', u'\u6da8\u8dcc\u989d': u'-0.003', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'157.50\u4e07', u'\u6da8\u8dcc\u7387': u'-4.48%', u'52\u5468\u6700\u4f4e': u'0.063', u'\u5e02\u503c': u'3.1\u4ebf', u'\u6700\u9ad8': u'0.067', u'\u4eca\u5f00': u'0.067', u'52\u5468\u6700\u9ad8': u'0.324'}
[2017-08-11 15:16:21]Market: hk Code: 00075 Response:{u'\u5468\u606f\u7387': u'156.38%', u'\u6210\u4ea4\u989d': u'9.25\u4e07', u'\u6700\u65b0\u4ef7': u'2.430', u'\u6628\u6536': u'2.450', u'\u6700\u4f4e': u'2.430', u'\u6da8\u8dcc\u989d': u'-0.020', u'\u5e02\u76c8\u7387': u'5.46', u'\u6210\u4ea4\u91cf': u'3.80\u4e07', u'\u6da8\u8dcc\u7387': u'-0.82%', u'52\u5468\u6700\u4f4e': u'2.280', u'\u5e02\u503c': u'19.4\u4ebf', u'\u6700\u9ad8': u'2.440', u'\u4eca\u5f00': u'2.440', u'52\u5468\u6700\u9ad8': u'6.750'}
[2017-08-11 15:16:21]Market: hk Code: 00004 Response:{u'\u5468\u606f\u7387': u'2.96%', u'\u6210\u4ea4\u989d': u'4.88\u4ebf', u'\u6700\u65b0\u4ef7': u'72.750', u'\u6628\u6536': u'74.050', u'\u6700\u4f4e': u'72.500', u'\u6da8\u8dcc\u989d': u'-1.300', u'\u5e02\u76c8\u7387': u'10.29', u'\u6210\u4ea4\u91cf': u'666.25\u4e07', u'\u6da8\u8dcc\u7387': u'-1.76%', u'52\u5468\u6700\u4f4e': u'49.750', u'\u5e02\u503c': u'2208\u4ebf', u'\u6700\u9ad8': u'74.400', u'\u4eca\u5f00': u'72.950', u'52\u5468\u6700\u9ad8': u'80.150'}
