[2017-08-11 14:28:40]Market: hk Code: 00034 Response:{u'\u5468\u606f\u7387': u'7.14%', u'\u6210\u4ea4\u989d': u'47.01\u4e07', u'\u6700\u65b0\u4ef7': u'8.400', u'\u6628\u6536': u'8.560', u'\u6700\u4f4e': u'8.390', u'\u6da8\u8dcc\u989d': u'-0.160', u'\u5e02\u76c8\u7387': u'10.24', u'\u6210\u4ea4\u91cf': u'5.60\u4e07', u'\u6da8\u8dcc\u7387': u'-1.87%', u'52\u5468\u6700\u4f4e': u'7.010', u'\u5e02\u503c': u'98.8\u4ebf', u'\u6700\u9ad8': u'8.410', u'\u4eca\u5f00': u'8.400', u'52\u5468\u6700\u9ad8': u'8.940'}
[2017-08-11 14:28:40]Market: hk Code: 00023 Response:{u'\u5468\u606f\u7387': u'1.66%', u'\u6210\u4ea4\u989d': u'4294.68\u4e07', u'\u6700\u65b0\u4ef7': u'33.700', u'\u6628\u6536': u'33.700', u'\u6700\u4f4e': u'33.450', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'27.85', u'\u6210\u4ea4\u91cf': u'127.34\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'29.050', u'\u5e02\u503c': u'918\u4ebf', u'\u6700\u9ad8': u'33.950', u'\u4eca\u5f00': u'33.850', u'52\u5468\u6700\u9ad8': u'34.750'}
[2017-08-11 14:28:40]Market: hk Code: 00070 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'45.21\u4e07', u'\u6700\u65b0\u4ef7': u'0.320', u'\u6628\u6536': u'0.335', u'\u6700\u4f4e': u'0.315', u'\u6da8\u8dcc\u989d': u'-0.015', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'139.95\u4e07', u'\u6da8\u8dcc\u7387': u'-4.48%', u'52\u5468\u6700\u4f4e': u'0.300', u'\u5e02\u503c': u'2.2\u4ebf', u'\u6700\u9ad8': u'0.325', u'\u4eca\u5f00': u'0.315', u'52\u5468\u6700\u9ad8': u'0.550'}
[2017-08-11 14:28:40]Market: hk Code: 00052 Response:{u'\u5468\u606f\u7387': u'4.43%', u'\u6210\u4ea4\u989d': u'770.80\u4e07', u'\u6700\u65b0\u4ef7': u'32.050', u'\u6628\u6536': u'32.300', u'\u6700\u4f4e': u'32.000', u'\u6da8\u8dcc\u989d': u'-0.250', u'\u5e02\u76c8\u7387': u'19.85', u'\u6210\u4ea4\u91cf': u'24.00\u4e07', u'\u6da8\u8dcc\u7387': u'-0.77%', u'52\u5468\u6700\u4f4e': u'27.750', u'\u5e02\u503c': u'40.9\u4ebf', u'\u6700\u9ad8': u'32.450', u'\u4eca\u5f00': u'32.300', u'52\u5468\u6700\u9ad8': u'38.600'}
[2017-08-11 14:28:40]Market: hk Code: 00030 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'662.34\u4e07', u'\u6700\u65b0\u4ef7': u'0.255', u'\u6628\u6536': u'0.260', u'\u6700\u4f4e': u'0.250', u'\u6da8\u8dcc\u989d': u'-0.005', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'2614.00\u4e07', u'\u6da8\u8dcc\u7387': u'-1.92%', u'52\u5468\u6700\u4f4e': u'0.101', u'\u5e02\u503c': u'11.6\u4ebf', u'\u6700\u9ad8': u'0.260', u'\u4eca\u5f00': u'0.255', u'52\u5468\u6700\u9ad8': u'0.415'}
[2017-08-11 14:28:40]Market: hk Code: 00036 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'16.08\u4e07', u'\u6700\u65b0\u4ef7': u'0.640', u'\u6628\u6536': u'0.640', u'\u6700\u4f4e': u'0.630', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'25.20\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.630', u'\u5e02\u503c': u'7.0\u4ebf', u'\u6700\u9ad8': u'0.670', u'\u4eca\u5f00': u'0.630', u'52\u5468\u6700\u9ad8': u'1.710'}
[2017-08-11 14:28:40]Market: hk Code: 00086 Response:{u'\u5468\u606f\u7387': u'5.07%', u'\u6210\u4ea4\u989d': u'419.19\u4e07', u'\u6700\u65b0\u4ef7': u'5.130', u'\u6628\u6536': u'5.150', u'\u6700\u4f4e': u'5.080', u'\u6da8\u8dcc\u989d': u'-0.020', u'\u5e02\u76c8\u7387': u'10.20', u'\u6210\u4ea4\u91cf': u'82.10\u4e07', u'\u6da8\u8dcc\u7387': u'-0.39%', u'52\u5468\u6700\u4f4e': u'4.570', u'\u5e02\u503c': u'111\u4ebf', u'\u6700\u9ad8': u'5.140', u'\u4eca\u5f00': u'5.140', u'52\u5468\u6700\u9ad8': u'5.900'}
[2017-08-11 14:28:40]Market: hk Code: 00058 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'42.36\u4e07', u'\u6700\u65b0\u4ef7': u'0.099', u'\u6628\u6536': u'0.099', u'\u6700\u4f4e': u'0.096', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'424.00\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.089', u'\u5e02\u503c': u'5.3\u4ebf', u'\u6700\u9ad8': u'0.103', u'\u4eca\u5f00': u'0.096', u'52\u5468\u6700\u9ad8': u'0.260'}
[2017-08-11 14:28:40]Market: hk Code: 00028 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'1197.90\u4e07', u'\u6700\u65b0\u4ef7': u'5.470', u'\u6628\u6536': u'5.560', u'\u6700\u4f4e': u'5.470', u'\u6da8\u8dcc\u989d': u'-0.090', u'\u5e02\u76c8\u7387': u'1.44', u'\u6210\u4ea4\u91cf': u'218.10\u4e07', u'\u6da8\u8dcc\u7387': u'-1.62%', u'52\u5468\u6700\u4f4e': u'4.030', u'\u5e02\u503c': u'82.4\u4ebf', u'\u6700\u9ad8': u'5.690', u'\u4eca\u5f00': u'5.610', u'52\u5468\u6700\u9ad8': u'7.130'}
[2017-08-11 14:28:40]Market: hk Code: 00091 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'6.08\u4e07', u'\u6700\u65b0\u4ef7': u'0.064', u'\u6628\u6536': u'0.067', u'\u6700\u4f4e': u'0.063', u'\u6da8\u8dcc\u989d': u'-0.003', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'95.00\u4e07', u'\u6da8\u8dcc\u7387': u'-4.48%', u'52\u5468\u6700\u4f4e': u'0.063', u'\u5e02\u503c': u'3.1\u4ebf', u'\u6700\u9ad8': u'0.067', u'\u4eca\u5f00': u'0.067', u'52\u5468\u6700\u9ad8': u'0.324'}
